Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR957961_1	(1, 30.10136055224114)	(2, 30.51897731397816)	(3, 29.608011950988143)	(4, 34.26818223203806)	(5, 34.61932316674352)	(6, 34.80002825682181)	(7, 34.920788664870784)	(8, 34.73104541691262)	(9, 36.35384923375525)	(10, 36.30831592087815)	(12, 36.22951923339143)	(14, 37.24344464199674)	(16, 37.14800296721591)	(18, 37.03566735742365)	(20, 36.890220453133836)	(22, 36.701136057782705)	(24, 36.46166900964894)	(26, 36.11737167998725)	(28, 36.24281050162786)	(30, 36.14099076043114)	(32, 35.956835177296895)	(34, 35.74471390560761)	(36, 35.50360187111582)	(38, 32.497269828123265)	(40, 32.31055109913608)	(42, 34.17905267756788)	(44, 34.57421869856492)	(46, 34.50406633326363)	(48, 34.30096275073171)	(50, 33.8845437212849)	(52, 33.452480628195076)	(54, 33.026150571542274)	(56, 32.541123691678884)	(58, 31.830267486888317)	(60, 31.430894066934844)	(62, 30.94207481018536)	(64, 30.413543267540742)	(66, 29.84991037757367)	(68, 29.252858351011007)	(70, 28.604933717221726)	(72, 27.95511316800971)	(74, 27.32978419413984)	(76, 26.21027309581752)	(78, 26.882704126051387)	(80, 26.580573893679592)	(82, 26.004924397088473)	(84, 25.37510183657485)	(86, 24.675929418852405)	(88, 23.950600360736274)	(90, 23.158370874405726)	(92, 22.347818589581458)	(94, 21.414669562117236)	(96, 20.39533527798678)	(98, 19.025108445226415)	(100, 16.20902320884793)
SRR957961_2	(1, 28.854305099663645)	(2, 27.757397493043285)	(3, 28.168177795068022)	(4, 31.946666340914437)	(5, 32.17534347046816)	(6, 32.16393930299881)	(7, 29.71641124758798)	(8, 30.33871876031432)	(9, 31.885217426196682)	(10, 32.768200048563294)	(12, 32.84622851930821)	(14, 33.45730536507058)	(16, 33.47950803175822)	(18, 33.649447041829646)	(20, 33.580146921120345)	(22, 33.77629090398054)	(24, 33.28339788781505)	(26, 33.36928143363931)	(28, 33.29834241102455)	(30, 32.925847231939144)	(32, 32.925510434087315)	(34, 32.533988594553236)	(36, 32.70850464187568)	(38, 32.67857039889484)	(40, 32.65657986118587)	(42, 32.56418426617976)	(44, 32.32370713651371)	(46, 31.852636727166093)	(48, 31.819963170028498)	(50, 30.552385092928937)	(52, 30.65195857904381)	(54, 31.11960089860188)	(56, 30.860381143214347)	(58, 30.34667901841742)	(60, 30.076571072740162)	(62, 29.68817863877878)	(64, 29.192786347911245)	(66, 28.793762081928683)	(68, 28.471990050952765)	(70, 28.059659851642948)	(72, 27.431216371308615)	(74, 26.966016553829714)	(76, 26.400347837232967)	(78, 25.8237792918808)	(80, 25.20951400575458)	(82, 24.724438809097272)	(84, 22.192157527538075)	(86, 21.66719768336496)	(88, 22.299484353564978)	(90, 22.080844839033155)	(92, 21.60583479344594)	(94, 20.825420565162645)	(96, 19.931452557276696)	(98, 18.859272524752644)	(100, 15.832890244775344)
SRR957965_1	(1, 32.853821397877184)	(2, 33.02706138096105)	(3, 33.10044373795627)	(4, 36.292781016367506)	(5, 36.29849028670481)	(6, 36.28088080215911)	(7, 36.297574538979354)	(8, 36.35448176774793)	(9, 38.21150659756419)	(10, 38.21512804791046)	(12, 38.16698947376712)	(14, 39.753495484386356)	(16, 39.71590338325672)	(18, 39.61631616838701)	(20, 39.56229207001776)	(22, 39.45492970898739)	(24, 39.40219244008844)	(26, 39.39154122580159)	(28, 39.29051491658111)	(30, 39.15498039073721)	(32, 39.05021961586687)	(34, 38.91505013191493)	(36, 38.77578000439868)	(38, 38.608451768726425)	(40, 38.35246210910603)	(42, 38.05331226667992)	(44, 37.96727325597071)	(46, 37.69151512000487)	(48, 37.472387553465005)	(50, 37.41294256406637)	(52, 37.16936124257837)	(54, 36.91843000707969)	(56, 36.66473403365838)	(58, 36.33220205689746)	(60, 36.01605835944418)	(62, 35.64827526415552)	(64, 35.14064588861345)	(66, 34.79075781712219)	(68, 34.30736086148069)	(70, 33.73612524617607)	(72, 33.130936645237746)	(74, 32.75229063787208)	(76, 31.968875767155986)	(78, 32.34702213289888)	(80, 32.2361363223953)	(82, 32.01425030392389)	(84, 31.8169856415846)	(86, 31.611860820735348)	(88, 31.42531267504213)	(90, 31.24129128949458)	(92, 31.052268943629354)	(94, 30.817126546240203)	(96, 30.55722518252852)	(98, 30.213752665487426)	(100, 27.927642846496703)
SRR957965_2	(1, 32.51533183519737)	(2, 32.5759524563987)	(3, 32.5873595232462)	(4, 35.8962040868939)	(5, 35.87793067294034)	(6, 35.899210570401436)	(7, 35.72974630951735)	(8, 35.83176207538887)	(9, 37.417197328014524)	(10, 37.43988303436756)	(12, 37.337673784933074)	(14, 38.73748567096972)	(16, 38.603909875095084)	(18, 38.48871611585733)	(20, 38.40941258246387)	(22, 38.47153735423696)	(24, 38.241355758770624)	(26, 38.289362857244996)	(28, 38.09032049011948)	(30, 37.8074095779116)	(32, 37.671726289923235)	(34, 37.52092362187598)	(36, 37.35224283783264)	(38, 37.208153399994124)	(40, 37.03553031498723)	(42, 36.96988040864092)	(44, 36.91237305706075)	(46, 36.70476651935737)	(48, 36.54281778562862)	(50, 35.57784578934023)	(52, 35.56470903359022)	(54, 35.75853751191687)	(56, 35.56850652955431)	(58, 35.25216720902905)	(60, 35.02165826868355)	(62, 34.68100649547363)	(64, 34.250573009741615)	(66, 33.54864550524373)	(68, 33.156316693986746)	(70, 32.80294762239582)	(72, 32.44588034320603)	(74, 32.139215011492006)	(76, 31.813083745154106)	(78, 31.510569685739828)	(80, 31.225892694042486)	(82, 30.940850111375646)	(84, 30.671266181882956)	(86, 30.416220329743403)	(88, 30.15420763037524)	(90, 29.888814147024334)	(92, 29.61038895213589)	(94, 29.283448894589533)	(96, 28.89395489490883)	(98, 28.430598455130596)	(100, 26.022386288693305)
SRR957971_1	(1, 32.80636801849916)	(2, 32.98715036193622)	(3, 33.06599232751223)	(4, 36.28171242377285)	(5, 36.28948988276784)	(6, 36.32205316640891)	(7, 36.33091606819193)	(8, 36.36949970363294)	(9, 38.215926808816874)	(10, 38.21542254322556)	(12, 38.17673381039725)	(14, 39.750139477985186)	(16, 39.721928058882796)	(18, 39.62192679720948)	(20, 39.58091507147)	(22, 39.48658036316509)	(24, 39.56219670950553)	(26, 39.52886297243673)	(28, 39.44778809742439)	(30, 39.34235457511763)	(32, 39.28118093127135)	(34, 39.18490306942408)	(36, 39.0976211149609)	(38, 38.99406728402866)	(40, 38.75689407318866)	(42, 38.47556406259817)	(44, 38.50968821276657)	(46, 38.31196121818091)	(48, 38.18591084360273)	(50, 38.05154692503717)	(52, 37.82334060309499)	(54, 37.71939204504881)	(56, 37.56621486145187)	(58, 37.26781736319866)	(60, 36.95820881248532)	(62, 36.60819623360234)	(64, 36.08801518852806)	(66, 35.73199525308031)	(68, 35.18053979935861)	(70, 34.43948853277739)	(72, 33.594128121916)	(74, 33.042344254629896)	(76, 32.187783318205874)	(78, 32.4595885279578)	(80, 32.24439018408066)	(82, 31.941447608637013)	(84, 31.63070466221094)	(86, 31.327453708575163)	(88, 31.053977513448807)	(90, 30.816825952922933)	(92, 30.55839468219837)	(94, 30.28105640411497)	(96, 29.961219215486487)	(98, 29.513642524043078)	(100, 26.527904453984377)
SRR957971_2	(1, 32.49246758319663)	(2, 32.52914054056646)	(3, 32.52577767650747)	(4, 35.840003270257235)	(5, 35.84313585370242)	(6, 35.89323018901633)	(7, 35.67898892528396)	(8, 35.80864236128722)	(9, 37.31923938257745)	(10, 37.34876695405062)	(12, 37.261527644145545)	(14, 38.63104526353958)	(16, 38.515624108154675)	(18, 38.41061105109752)	(20, 38.42253096209403)	(22, 38.711856574996006)	(24, 38.428913792637935)	(26, 38.44151649600012)	(28, 38.20985909380062)	(30, 37.901870380225446)	(32, 37.846278353899876)	(34, 37.79589406082426)	(36, 37.6857483400795)	(38, 37.64392202757968)	(40, 37.5412964854071)	(42, 37.394009903126204)	(44, 37.39495333196568)	(46, 37.26084076395833)	(48, 37.20040267565584)	(50, 36.34896115080756)	(52, 36.405104805940766)	(54, 36.67858362534763)	(56, 36.58946452313417)	(58, 36.29510730657728)	(60, 36.12065152305418)	(62, 35.79339985884399)	(64, 35.326670335612675)	(66, 34.455738052395276)	(68, 33.97589482287495)	(70, 33.5610173982227)	(72, 33.14300860133167)	(74, 32.75604877729977)	(76, 32.30308345388622)	(78, 31.88316231351522)	(80, 31.509565779987895)	(82, 31.196457297026413)	(84, 30.840200772598273)	(86, 30.504544951023103)	(88, 30.177302698895858)	(90, 29.841743067294374)	(92, 29.52786625051634)	(94, 29.142768227331324)	(96, 28.723036363191337)	(98, 28.159033845900737)	(100, 25.004559081764253)
SRR957972_1	(1, 33.067799558411835)	(2, 33.22802142808059)	(3, 33.29562678330809)	(4, 36.475932130468685)	(5, 36.464844144475215)	(6, 36.48344343160014)	(7, 36.49338239204544)	(8, 36.49364704616956)	(9, 38.372117979928355)	(10, 38.372463482331995)	(12, 38.33467928091042)	(14, 39.94432595062459)	(16, 39.896355164758994)	(18, 39.84434997206462)	(20, 39.77641635370077)	(22, 39.67681853355681)	(24, 39.769775740138215)	(26, 39.7465405541065)	(28, 39.70426852623685)	(30, 39.64809830266417)	(32, 39.560444127743864)	(34, 39.48618304098285)	(36, 39.406252296826125)	(38, 39.30854774858754)	(40, 39.20046665531325)	(42, 39.081718309775)	(44, 38.95589236363202)	(46, 38.81907699708098)	(48, 38.64802151771283)	(50, 38.47923878327224)	(52, 38.381180516341445)	(54, 38.256156898246495)	(56, 38.05991924135273)	(58, 37.8023230286136)	(60, 37.506037059943054)	(62, 37.21005046295051)	(64, 36.85657309060923)	(66, 36.47800855091559)	(68, 36.07323025625857)	(70, 35.65985037391582)	(72, 35.20950197340313)	(74, 34.802547109210906)	(76, 33.902334143011224)	(78, 34.174950866594365)	(80, 33.959154289948344)	(82, 33.665880203524935)	(84, 33.358836304642054)	(86, 33.06534291800742)	(88, 32.80261481142871)	(90, 32.575166342496736)	(92, 32.33181538148975)	(94, 32.07161206569445)	(96, 31.76956716591824)	(98, 31.33753364943636)	(100, 28.30014654871064)
SRR957972_2	(1, 32.855458334453736)	(2, 32.976970490079204)	(3, 33.02351179112103)	(4, 36.30308454411549)	(5, 36.28774595833296)	(6, 36.28041559481448)	(7, 36.26469858171921)	(8, 36.26186399204066)	(9, 38.06766242108628)	(10, 38.04529305260516)	(12, 37.97016283190071)	(14, 39.50460640990018)	(16, 39.432380721898056)	(18, 39.34603428134365)	(20, 39.338263943041696)	(22, 39.368672875193084)	(24, 39.335528516496815)	(26, 39.26093611910332)	(28, 39.16571393572173)	(30, 39.04576735653613)	(32, 38.93115039990917)	(34, 38.82870018314854)	(36, 38.71025772256432)	(38, 38.60771742540357)	(40, 38.479922169339204)	(42, 38.49870293187054)	(44, 38.47345896785489)	(46, 38.358628208460686)	(48, 38.19875787643299)	(50, 37.48080307498334)	(52, 37.50028592684217)	(54, 37.710991870355926)	(56, 37.56429045625798)	(58, 37.33296240525125)	(60, 37.05442872892522)	(62, 36.72451779349329)	(64, 36.373999599642666)	(66, 35.972612929151694)	(68, 35.57779173052964)	(70, 35.150492768172185)	(72, 34.71745369747924)	(74, 34.327180020376396)	(76, 33.870773705486386)	(78, 33.451428170217596)	(80, 33.08504611578692)	(82, 32.79016549099047)	(84, 32.445390901132654)	(86, 32.12598809086319)	(88, 31.815124633628223)	(90, 31.499530864861473)	(92, 31.205830308245268)	(94, 30.845756242138506)	(96, 30.457483754156698)	(98, 29.929806334609097)	(100, 26.806406553909312)
