Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR957961_1	46.603459981373454	46.0	101.0	101	27.27272727272727	32.048898
SRR957961_2	41.70522655440975	46.0	101.0	101	27.27272727272727	32.048898
SRR957965_1	58.81337254233196	54.0	101.0	101	27.27272727272727	26.407928
SRR957965_2	56.96942511944302	54.0	101.0	101	18.181818181818183	26.407928
SRR957971_1	52.169825536634974	46.0	101.0	101	27.27272727272727	19.814954999999998
SRR957971_2	49.63777442166665	46.0	101.0	101	18.181818181818183	19.814954999999998
SRR957972_1	50.66774601700782	46.0	101.0	101	18.181818181818183	16.735049999999998
SRR957972_2	50.06957871520479	46.0	101.0	101	18.181818181818183	16.735049999999998
