Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR957961_1	(1, 2.669433438865823)	(2, 0.004237275178697252)	(3, 0.00052107875908869)	(4, 0.010827205353519487)	(5, 5.3043945535974434e-05)	(6, 0.0003837885471132268)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.003422894603115527)	(12, 0.0)	(14, 0.0)	(16, 0.000610005373663706)	(18, 0.0)	(20, 0.0)	(22, 0.0011108026241651117)	(24, 0.0003089029769447923)	(26, 0.0005319995714049201)	(28, 0.0)	(30, 0.0)	(32, 0.000820621039762428)	(34, 0.0020328312068639614)	(36, 0.000809700227446198)	(38, 7.695635899867758)	(40, 0.0)	(42, 0.012462206968863642)	(44, 0.0)	(46, 0.0)	(48, 0.0040750231099989775)	(50, 0.01799749869714709)	(52, 0.0009142280024729713)	(54, 4.9923713445623e-05)	(56, 0.003709955955427859)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 6.70849899425559e-05)	(66, 0.0)	(68, 0.007844263475143514)	(70, 0.0)	(72, 0.0)	(74, 0.00015445148847239616)	(76, 0.000742615237503642)	(78, 0.001708327069467412)	(80, 0.007515078989611438)	(82, 3.9002901129392965e-05)	(84, 0.00010296765898159743)	(86, 4.8363597400447285e-05)	(88, 0.004889403685580702)	(90, 0.01235611907779169)	(92, 0.006852029670411756)	(94, 0.004638225002307411)	(96, 0.004995491576652651)	(98, 0.014569923745896038)	(100, 0.003011023967189137)
SRR957961_2	(1, 3.980361508841895)	(2, 8.613147946615825)	(3, 5.030772040898255)	(4, 3.885428447492953)	(5, 4.442676936972997)	(6, 4.4875552351285215)	(7, 13.676133263614867)	(8, 8.404226566542162)	(9, 7.3469016001735845)	(10, 2.8763594305177045)	(12, 6.0299748840038125)	(14, 4.830649715319385)	(16, 4.877702815241884)	(18, 4.681579067086799)	(20, 3.7914002534502127)	(22, 4.434369319032435)	(24, 4.938085546654365)	(26, 4.834782462723055)	(28, 3.4766967650494562)	(30, 3.846399024390792)	(32, 4.375635630279706)	(34, 4.52261416289571)	(36, 3.354650446951405)	(38, 3.8729053959983273)	(40, 3.646663607591125)	(42, 3.929698300390859)	(44, 3.6537434142041323)	(46, 4.32560270871092)	(48, 4.436636167646077)	(50, 4.447522657409313)	(52, 4.025514387421371)	(54, 2.741376630173056)	(56, 3.669146439918153)	(58, 4.928532956109755)	(60, 4.206703144675989)	(62, 3.813558581639843)	(64, 3.688538682359687)	(66, 3.476263052788898)	(68, 3.009555897990627)	(70, 2.367232720451106)	(72, 2.4446550393089956)	(74, 3.261185454800973)	(76, 2.1716019689662964)	(78, 1.649541896885191)	(80, 1.6903077291456323)	(82, 2.3318633295909272)	(84, 9.080876977423685)	(86, 2.1156062838728498)	(88, 1.6776458273229864)	(90, 2.1506605312919027)	(92, 2.254267837852022)	(94, 1.71576570277081)	(96, 1.9419731686250181)	(98, 1.9377031310093722)	(100, 1.7396744811631277)
SRR957965_1	(1, 0.015056084672754332)	(2, 0.0)	(3, 0.0013935209153857128)	(4, 0.20697193660933946)	(5, 0.01835812336355961)	(6, 0.0035216697046432416)	(7, 0.0013253595662635858)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0002858989921511449)	(14, 5.3014382650543424e-05)	(16, 0.002698053402750871)	(18, 0.0006153455129080934)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 5.6801124268439384e-05)	(28, 0.005095060846879013)	(30, 0.0066892790680132125)	(32, 0.0167279310970554)	(34, 0.012458379922877703)	(36, 0.0052711443321111755)	(38, 0.003419427680960051)	(40, 1.8933708089479795e-06)	(42, 4.3547528605803526e-05)	(44, 0.00019123045170374594)	(46, 6.248123669528333e-05)	(48, 9.845528206529494e-05)	(50, 0.013938995895475027)	(52, 0.01463764972397683)	(54, 0.020035649900287517)	(56, 0.025901312666408362)	(58, 0.010265856526115944)	(60, 0.001101941810807724)	(62, 0.0003824609034074919)	(64, 0.000836869897555007)	(66, 5.4907753459491414e-05)	(68, 0.0026961600319419226)	(70, 0.013098339256302122)	(72, 0.03664808537799709)	(74, 0.045132279972892986)	(76, 0.039789187550041794)	(78, 0.044581309067489125)	(80, 0.028879584948883534)	(82, 0.012560621946560897)	(84, 0.003871943304298618)	(86, 0.0018649702468137598)	(88, 0.013069938694167902)	(90, 0.008951857184706048)	(92, 0.005462374783814921)	(94, 0.030131103053598146)	(96, 0.004402087130804052)	(98, 0.0036466321780338085)	(100, 0.13274044067372495)
SRR957965_2	(1, 0.027722735384616316)	(2, 0.024716062540006925)	(3, 0.01914576562008197)	(4, 0.01753261369085829)	(5, 0.014366897698297269)	(6, 0.0007497748403433999)	(7, 0.0017153939529068692)	(8, 0.0013632269824425454)	(9, 0.0021735896886722807)	(10, 0.013039644761224736)	(12, 0.06918755610057707)	(14, 0.09574965517930828)	(16, 0.10615751451609533)	(18, 0.1088839684809804)	(20, 0.0654992697647464)	(22, 0.04647278650562816)	(24, 0.047309656403183166)	(26, 0.04978997216290501)	(28, 0.05369599614176471)	(30, 0.10911874646128995)	(32, 0.17948776594665058)	(34, 0.20132211811543865)	(36, 0.20625813581436606)	(38, 0.1423000698881033)	(40, 0.10883284746913882)	(42, 0.07486009504418521)	(44, 0.07066627870236544)	(46, 0.0639050515436122)	(48, 0.06724495765059643)	(50, 0.1456702699280307)	(52, 0.20209840014710734)	(54, 0.23540657941812018)	(56, 0.19530498568460197)	(58, 0.09994915163355489)	(60, 0.07262023737719975)	(62, 0.06624147112185402)	(64, 0.05530157458775259)	(66, 0.0562728738127429)	(68, 0.12114165109810963)	(70, 0.1522402666350802)	(72, 0.14989627357360258)	(74, 0.10916608073151365)	(76, 0.061076355555043926)	(78, 0.04230926409675155)	(80, 0.026751436159626003)	(82, 0.02435632208630681)	(84, 0.016705210647348024)	(86, 0.04122436262322436)	(88, 0.052853446131782854)	(90, 0.04976535834238869)	(92, 0.04755768797915535)	(94, 0.03628266481187013)	(96, 0.04030039766845774)	(98, 0.03023902518970818)	(100, 0.13889200243199692)
SRR957971_1	(1, 0.019717430597243346)	(2, 0.0)	(3, 0.0)	(4, 0.19791112318953033)	(5, 0.014110554376732119)	(6, 0.0019682103744368836)	(7, 1.5140079803360644e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0005803697257954914)	(14, 0.00013878406486413924)	(16, 0.002604093726178031)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0012667200102145072)	(30, 0.0022811053570396702)	(32, 0.006396683716919872)	(34, 0.010045442949529786)	(36, 0.003275303930793686)	(38, 0.0002548580100232375)	(40, 0.0)	(42, 0.0)	(44, 0.00011102725189131138)	(46, 0.0006081265387683192)	(48, 8.327043891848354e-05)	(50, 0.01277570400740249)	(52, 0.014105507683464334)	(54, 0.01471111087559876)	(56, 0.016969506112933387)	(58, 0.0016527920452002035)	(60, 5.046693267786881e-05)	(62, 0.00015644749130139333)	(64, 0.0025233466338934404)	(66, 0.00017158757110475396)	(68, 0.0009588717208795075)	(70, 0.003888477162829792)	(72, 0.03302556074439735)	(74, 0.04186232065629218)	(76, 0.04774676500653168)	(78, 0.044077819000850615)	(80, 0.020837796502692033)	(82, 0.006679298539915937)	(84, 0.0035932456066642597)	(86, 0.0006560701248122945)	(88, 0.009747688046730362)	(90, 0.004804451990933111)	(92, 0.004650527846265611)	(94, 0.019525656253067444)	(96, 0.005793603871419339)	(98, 0.005498372315253807)	(100, 0.26845632503328926)
SRR957971_2	(1, 0.04025747219713595)	(2, 0.02982091051935268)	(3, 0.026318505391508585)	(4, 0.01349485779806212)	(5, 0.014115601069999907)	(6, 0.0018975566686878673)	(7, 0.010623289328691384)	(8, 0.003270257237525899)	(9, 0.010683849647904827)	(10, 0.014701017489063186)	(12, 0.05339906146645299)	(14, 0.06373468927888053)	(16, 0.07143089651225552)	(18, 0.08735573711875702)	(20, 0.053699339715886314)	(22, 0.04371698043220386)	(24, 0.052859065286799796)	(26, 0.05630343344206434)	(28, 0.05384821716728602)	(30, 0.09991948000891246)	(32, 0.17025019738879044)	(34, 0.17716669051229236)	(36, 0.19743421067572445)	(38, 0.12715900692179216)	(40, 0.09850892924056602)	(42, 0.07995223809491367)	(44, 0.07552124140579679)	(46, 0.07074706957447038)	(48, 0.06951315307049649)	(50, 0.15411591901167576)	(52, 0.21243802976085488)	(54, 0.2366217839000896)	(56, 0.172960271673592)	(58, 0.10124423699170652)	(60, 0.08176652432468305)	(62, 0.06903371721005674)	(64, 0.05143085109201611)	(66, 0.05763828381139398)	(68, 0.11737346867555339)	(70, 0.1643506129587476)	(72, 0.15004828423783956)	(74, 0.09422681000284885)	(76, 0.06065115969226273)	(78, 0.04501145725539119)	(80, 0.04069653451143341)	(82, 0.03472881972227543)	(84, 0.023641234612947645)	(86, 0.04256128767388066)	(88, 0.05693931679380549)	(90, 0.04665415591405583)	(92, 0.04463043191367328)	(94, 0.03302556074439735)	(96, 0.028329612658721658)	(98, 0.023986933101791046)	(100, 0.11800935202729453)
SRR957972_1	(1, 0.01931873522935396)	(2, 0.0)	(3, 0.0)	(4, 0.1999396476257914)	(5, 0.013904947998362718)	(6, 0.002013737634485705)	(7, 2.3901930379652287e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0006035237420862203)	(14, 0.0001583502887651964)	(16, 0.0026590897547363167)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0013414958425579846)	(30, 0.0024858007594838376)	(32, 0.007101861064054185)	(34, 0.010684162879704572)	(36, 0.003519559248403799)	(38, 0.0002987741297456536)	(40, 0.0)	(42, 0.0)	(44, 0.00014042384098045718)	(46, 0.0006005360007887636)	(48, 0.00010755868670843529)	(50, 0.013420933908174759)	(52, 0.0146279813923472)	(54, 0.015007424537124179)	(56, 0.017358776938222475)	(58, 0.001891240241289987)	(60, 6.871804984150033e-05)	(62, 0.00016432577136010946)	(64, 0.0025216536550533163)	(66, 0.000167313512657566)	(68, 0.0010606481605970701)	(70, 0.003940830771345171)	(72, 0.03351050639227251)	(74, 0.04201959360742872)	(76, 0.04842531094917553)	(78, 0.044681671103462495)	(80, 0.020734924604348358)	(82, 0.006665650834625531)	(84, 0.0038392475672316484)	(86, 0.0008216288568005473)	(88, 0.009919301107555699)	(90, 0.004645937717544913)	(92, 0.004840140901879588)	(94, 0.019506962931093722)	(96, 0.006026274196969833)	(98, 0.005661769758680136)	(100, 0.2720607348050947)
SRR957972_2	(1, 0.04138619245236794)	(2, 0.031239823006205536)	(3, 0.027469293488815393)	(4, 0.014036408615450807)	(5, 0.014568226566398067)	(6, 0.0018763015348027044)	(7, 0.010492947436667354)	(8, 0.003429927009480103)	(9, 0.010415266162933484)	(10, 0.01557509538364092)	(12, 0.055267238520350995)	(14, 0.0660320704150869)	(16, 0.0734416688327791)	(18, 0.08959041054553168)	(20, 0.05555704942620429)	(22, 0.04540171675614952)	(24, 0.054753347017188474)	(26, 0.05822809014613043)	(28, 0.055799056471298264)	(30, 0.10210307109927966)	(32, 0.17165470076277034)	(34, 0.17781841105942317)	(36, 0.1988192446392452)	(38, 0.12920188466721044)	(40, 0.10119778548615033)	(42, 0.08232721145141485)	(44, 0.07779182016187582)	(46, 0.07272759866268699)	(48, 0.07135024992455953)	(50, 0.15552388549780252)	(52, 0.21347710344456697)	(54, 0.23821560138750705)	(56, 0.17454982208000575)	(58, 0.10301731993630137)	(60, 0.08407205236912946)	(62, 0.07121580156617399)	(64, 0.05285015581070866)	(66, 0.05947099052587235)	(68, 0.11922282873370561)	(70, 0.16626481546215877)	(72, 0.15187585337360807)	(74, 0.0960857601262022)	(76, 0.06307121878930748)	(78, 0.04659681327513213)	(80, 0.041855267836068605)	(82, 0.0359992948930538)	(84, 0.024586123136769833)	(86, 0.04420064475457199)	(88, 0.05906764545071571)	(90, 0.04820421809316375)	(92, 0.04635779397133561)	(94, 0.03435304943815525)	(96, 0.02935754598880792)	(98, 0.02487593404262312)	(100, 0.11906746618623786)
