Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR957961_1	(0.0, 0.0003307441113780171)	(1.0, 0.00024025751486893694)	(2.0, 0.00011388830250280779)	(3.0, 8.268602784450428e-05)	(4.0, 8.424614157741944e-05)	(5.0, 9.984727890657121e-05)	(6.0, 0.00012636921236612917)	(7.0, 0.00016381194195609337)	(8.0, 0.00020437489901188794)	(9.0, 0.00026833956206141014)	(10.0, 0.00035258570363882953)	(11.0, 0.000427471162818758)	(12.0, 0.0006521275403585431)	(13.0, 0.0009407485809478505)	(14.0, 0.0014165832694869789)	(15.0, 0.002386974011360218)	(16.0, 0.003981410246399526)	(17.0, 0.007053274186509507)	(18.0, 0.012728967946854913)	(19.0, 0.022102131254209286)	(20.0, 0.03986558621718147)	(21.0, 0.07994958835697105)	(22.0, 0.14624818155093433)	(23.0, 0.2259918348951606)	(24.0, 0.30636577418748456)	(25.0, 0.3949864746719982)	(26.0, 0.49883388518976385)	(27.0, 0.6168486885161323)	(28.0, 0.7283344158702507)	(29.0, 0.8484538126223218)	(30.0, 0.9659459778481636)	(31.0, 1.0875927259447586)	(32.0, 1.261629653306378)	(33.0, 1.4417744259323602)	(34.0, 1.6118065413415865)	(35.0, 1.848244897792347)	(36.0, 2.109448499639403)	(37.0, 2.344152009619162)	(38.0, 2.560650552449534)	(39.0, 2.771498363339287)	(40.0, 2.9767937294535947)	(41.0, 3.155481355853034)	(42.0, 3.3725399795135225)	(43.0, 3.616835068723244)	(44.0, 3.856070709097122)	(45.0, 3.995939585594166)	(46.0, 3.945302974164938)	(47.0, 3.775378506603283)	(48.0, 3.6609769266823458)	(49.0, 3.6350743583747556)	(50.0, 3.638611136207274)	(51.0, 3.696414910125514)	(52.0, 3.724389309470416)	(53.0, 3.5840336774887023)	(54.0, 3.365135679737107)	(55.0, 3.1746052299911085)	(56.0, 2.9691819345507016)	(57.0, 2.7543277515948223)	(58.0, 2.5546425544640776)	(59.0, 2.367382103102269)	(60.0, 2.1372076032891627)	(61.0, 1.8647134583569998)	(62.0, 1.5965018256216885)	(63.0, 1.3289828833837918)	(64.0, 1.0667948497712663)	(65.0, 0.8018266934866859)	(66.0, 0.5504252862235358)	(67.0, 0.3603191874128901)	(68.0, 0.22640214480691725)	(69.0, 0.13419006250923296)	(70.0, 0.07617723335078216)	(71.0, 0.042265041138405006)	(72.0, 0.02279794197908945)	(73.0, 0.012242212462185379)	(74.0, 0.006833298150168466)	(75.0, 0.003958008540405799)	(76.0, 0.0023386104856398474)	(77.0, 0.0013791405398970147)	(78.0, 0.000890824941494565)	(79.0, 0.0006490073128927128)	(80.0, 0.0004571133237441463)	(81.0, 0.00027614013072598594)	(82.0, 0.00020281478527897273)	(83.0, 0.0001684922831548389)	(84.0, 0.00011076807503697741)	(85.0, 7.644557291284358e-05)	(86.0, 6.708489051535254e-05)	(87.0, 4.524329825454008e-05)	(88.0, 3.432250212413385e-05)	(89.0, 2.9642160925388326e-05)	(90.0, 1.87213647949821e-05)	(91.0, 1.2480909863321402e-05)	(92.0, 1.0920796130406224e-05)	(93.0, 9.36068239749105e-06)	(94.0, 9.36068239749105e-06)	(95.0, 7.800568664575874e-06)	(96.0, 6.240454931660701e-06)	(97.0, 1.2480909863321402e-05)	(98.0, 1.0920796130406224e-05)	(99.0, 1.4041023596236576e-05)	(100.0, 2.808204719247315e-05)
SRR957961_2	(0.0, 0.8661625632009544)	(1.0, 0.5331875329419002)	(2.0, 0.17705657299479272)	(3.0, 0.10248133797810599)	(4.0, 0.03169940679842376)	(5.0, 0.01400042894468532)	(6.0, 0.01881428995651044)	(7.0, 0.02705796868828066)	(8.0, 0.04008444124238374)	(9.0, 0.058518158127614045)	(10.0, 0.08207951463854125)	(11.0, 0.10927573232006245)	(12.0, 0.13732163763419686)	(13.0, 0.16316798593227952)	(14.0, 0.18576004613104832)	(15.0, 0.203702901422301)	(16.0, 0.21505174574382221)	(17.0, 0.21816623149042091)	(18.0, 0.21591230689275773)	(19.0, 0.2130152914726048)	(20.0, 0.21426108577124428)	(21.0, 0.2353246402469941)	(22.0, 0.28203105292965225)	(23.0, 0.34584772022517063)	(24.0, 0.4074881308967564)	(25.0, 0.4801620539165171)	(26.0, 0.5743779661302083)	(27.0, 0.6781796596617351)	(28.0, 0.7810011833647813)	(29.0, 0.8926162750536106)	(30.0, 1.0012924106164727)	(31.0, 1.1197795646209892)	(32.0, 1.2851937083535587)	(33.0, 1.454444649988422)	(34.0, 1.6198696672373138)	(35.0, 1.8411099971279936)	(36.0, 2.0841470671664406)	(37.0, 2.3142959136440244)	(38.0, 2.524224679840574)	(39.0, 2.716821061019393)	(40.0, 2.903865735435946)	(41.0, 3.068392910908512)	(42.0, 3.2567874547085034)	(43.0, 3.465139561038321)	(44.0, 3.675911801429585)	(45.0, 3.7853304428213117)	(46.0, 3.7387917929619117)	(47.0, 3.5906743069791554)	(48.0, 3.4703029279319333)	(49.0, 3.4416776195337686)	(50.0, 3.4400761059154426)	(51.0, 3.468926651437427)	(52.0, 3.4661756518078874)	(53.0, 3.3170360552908362)	(54.0, 3.1165299676672884)	(55.0, 2.9426919555038933)	(56.0, 2.7410923028102183)	(57.0, 2.5335075560608598)	(58.0, 2.3392661671984256)	(59.0, 2.1564233301607003)	(60.0, 1.9481799589941058)	(61.0, 1.7073626396448809)	(62.0, 1.4642945024169418)	(63.0, 1.225743534541177)	(64.0, 0.9877176021678311)	(65.0, 0.7528480962468986)	(66.0, 0.5339595526007828)	(67.0, 0.36125549285385516)	(68.0, 0.2363436440623401)	(69.0, 0.14852291280562988)	(70.0, 0.09137326437514973)	(71.0, 0.05603588968718276)	(72.0, 0.03470515738179956)	(73.0, 0.021773439755647855)	(74.0, 0.01373014439610269)	(75.0, 0.008973757684838244)	(76.0, 0.006100042656804533)	(77.0, 0.0042018373788276706)	(78.0, 0.00304924464866496)	(79.0, 0.002292758584528518)	(80.0, 0.0017102487815487115)	(81.0, 0.0012784148476063485)	(82.0, 0.001060944521160554)	(83.0, 0.0008900749789531442)	(84.0, 0.00066173113618506)	(85.0, 0.0005172687050460681)	(86.0, 0.00042096041762007346)	(87.0, 0.00035882603863556076)	(88.0, 0.0002702845485826302)	(89.0, 0.000203490091174279)	(90.0, 0.00015844266641050733)	(91.0, 0.00011494860112134847)	(92.0, 6.990117635757677e-05)	(93.0, 6.990117635757677e-05)	(94.0, 6.990117635757677e-05)	(95.0, 4.194070581454606e-05)	(96.0, 2.640711106841789e-05)	(97.0, 1.553359474612817e-05)	(98.0, 9.320156847676903e-06)	(99.0, 3.106718949225634e-06)	(100.0, 0.0)
SRR957965_1	(0.0, 3.7867415461989e-06)	(1.0, 5.68011231929835e-06)	(2.0, 5.68011231929835e-06)	(3.0, 9.466853865497251e-06)	(4.0, 9.466853865497251e-06)	(5.0, 5.68011231929835e-06)	(6.0, 1.13602246385967e-05)	(7.0, 1.8933707730994503e-05)	(8.0, 3.7867415461989005e-05)	(9.0, 6.626797705848076e-05)	(10.0, 0.0001060287632935692)	(11.0, 0.00015146966184795602)	(12.0, 0.00019501718962924334)	(13.0, 0.00029725921137661366)	(14.0, 0.0004468355024514702)	(15.0, 0.000568011231929835)	(16.0, 0.0009069246003146365)	(17.0, 0.0015449905508491512)	(18.0, 0.0025219698697684675)	(19.0, 0.004314991991893647)	(20.0, 0.006846428715527611)	(21.0, 0.010962616776245816)	(22.0, 0.016860466734450602)	(23.0, 0.02569304139095954)	(24.0, 0.03741679321799133)	(25.0, 0.052054442664823175)	(26.0, 0.07275845206866566)	(27.0, 0.1008409273752767)	(28.0, 0.1366729692561838)	(29.0, 0.18033220591308402)	(30.0, 0.23077917679154578)	(31.0, 0.29298587354172817)	(32.0, 0.37011233198393434)	(33.0, 0.4553821781212411)	(34.0, 0.5465441941044334)	(35.0, 0.6601824145350894)	(36.0, 0.7992561779315631)	(37.0, 0.9543743652592819)	(38.0, 1.1231589028272324)	(39.0, 1.3231745912974582)	(40.0, 1.5322424854338725)	(41.0, 1.7492133091772042)	(42.0, 2.0082358977910744)	(43.0, 2.274063260963464)	(44.0, 2.494065371314528)	(45.0, 2.6637719804489777)	(46.0, 2.808887489982412)	(47.0, 2.932445079893336)	(48.0, 2.960393125875057)	(49.0, 2.9175877994368244)	(50.0, 2.941894893421875)	(51.0, 3.12864183951422)	(52.0, 3.320983696241074)	(53.0, 3.420527664636778)	(54.0, 3.4699276014777154)	(55.0, 3.5244017719905596)	(56.0, 3.50914877704247)	(57.0, 3.3938406035899407)	(58.0, 3.304346647257849)	(59.0, 3.2731893378157246)	(60.0, 3.2537917542453205)	(61.0, 3.1568795712242257)	(62.0, 2.9941973676579745)	(63.0, 2.842534581991162)	(64.0, 2.8466450899395612)	(65.0, 2.7621477390776787)	(66.0, 2.479410681530738)	(67.0, 2.249527069114868)	(68.0, 2.0243977107102515)	(69.0, 1.698171819875989)	(70.0, 1.4252007687766952)	(71.0, 1.180815829609657)	(72.0, 0.9693869021191873)	(73.0, 0.8927640803026258)	(74.0, 0.8286204652515626)	(75.0, 0.7064545028588668)	(76.0, 0.5921498159160798)	(77.0, 0.48565149667078206)	(78.0, 0.3804312026973263)	(79.0, 0.3200251015523614)	(80.0, 0.25573001683945035)	(81.0, 0.19181739302270528)	(82.0, 0.14571760143927986)	(83.0, 0.1043095826315949)	(84.0, 0.06821246884245388)	(85.0, 0.043657343286127116)	(86.0, 0.02726264576185898)	(87.0, 0.01648557932137691)	(88.0, 0.009197995215717129)	(89.0, 0.005049619851856233)	(90.0, 0.0030180330123205233)	(91.0, 0.0019596387501579307)	(92.0, 0.0011606362839099629)	(93.0, 0.0006929737029543987)	(94.0, 0.00047144932250176307)	(95.0, 0.00027453876209942025)	(96.0, 0.00017040336957895052)	(97.0, 0.00011549561715906645)	(98.0, 4.733426932748625e-05)	(99.0, 1.704033695789505e-05)	(100.0, 3.7867415461989e-06)
SRR957965_2	(0.0, 0.0008898808936077904)	(1.0, 0.0015942121540803396)	(2.0, 0.003035061856283592)	(3.0, 0.003830274569720341)	(4.0, 0.00385110156935797)	(5.0, 0.0038245944789100784)	(6.0, 0.003644724936585099)	(7.0, 0.003504616029931958)	(8.0, 0.003319066396796717)	(9.0, 0.002923353403681763)	(10.0, 0.0026147351363241676)	(11.0, 0.0023723845950863014)	(12.0, 0.0023553443226555135)	(13.0, 0.0024140385943615594)	(14.0, 0.002425398775982084)	(15.0, 0.002563614319031805)	(16.0, 0.0028627657683722965)	(17.0, 0.0033777606685027627)	(18.0, 0.004385030105522644)	(19.0, 0.006119351166256126)	(20.0, 0.008457655216480852)	(21.0, 0.012024752245325697)	(22.0, 0.01785820550746528)	(23.0, 0.026717253807871346)	(24.0, 0.03786348534120978)	(25.0, 0.05185544237048972)	(26.0, 0.0707682514050604)	(27.0, 0.09761046721075751)	(28.0, 0.1324843314221658)	(29.0, 0.17458137778062455)	(30.0, 0.2240492886472006)	(31.0, 0.2860342262959918)	(32.0, 0.3639953660304479)	(33.0, 0.4512661746029243)	(34.0, 0.5434048209997956)	(35.0, 0.6589378680805347)	(36.0, 0.803869171831589)	(37.0, 0.9623986129824118)	(38.0, 1.1307527178713852)	(39.0, 1.3285467334299492)	(40.0, 1.5251327830095305)	(41.0, 1.7181479488330604)	(42.0, 1.9439978262671143)	(43.0, 2.1807193975120107)	(44.0, 2.392895403002159)	(45.0, 2.566128705897148)	(46.0, 2.7265969513778736)	(47.0, 2.8662268370393496)	(48.0, 2.9089619469321613)	(49.0, 2.8952369541709633)	(50.0, 2.9598271601380617)	(51.0, 3.1668456431724916)	(52.0, 3.3670593774162274)	(53.0, 3.481710117057773)	(54.0, 3.5314658191920687)	(55.0, 3.567186016934206)	(56.0, 3.539993528861876)	(57.0, 3.4161391487441026)	(58.0, 3.307448717726126)	(59.0, 3.2620212447892505)	(60.0, 3.23764608175881)	(61.0, 3.1407645595353704)	(62.0, 2.9754814904111453)	(63.0, 2.806903968616968)	(64.0, 2.8181846289661494)	(65.0, 2.7481566827300266)	(66.0, 2.4716328218140173)	(67.0, 2.2639989956084756)	(68.0, 2.039139347339011)	(69.0, 1.7105934280554111)	(70.0, 1.4380797112514476)	(71.0, 1.201123362919727)	(72.0, 0.9964034232998499)	(73.0, 0.9129837162967315)	(74.0, 0.8477402998864532)	(75.0, 0.7248420683884069)	(76.0, 0.608135135873547)	(77.0, 0.5036195716011137)	(78.0, 0.39908886041985303)	(79.0, 0.33598305151783675)	(80.0, 0.2724266220782063)	(81.0, 0.2111043616906124)	(82.0, 0.16720672654530042)	(83.0, 0.12606582880656916)	(84.0, 0.08738062366147477)	(85.0, 0.05894987579250757)	(86.0, 0.03962052676518431)	(87.0, 0.02723224870800181)	(88.0, 0.01891659576177752)	(89.0, 0.01287487250326165)	(90.0, 0.008720832757356347)	(91.0, 0.006005749350050876)	(92.0, 0.004208947290404507)	(93.0, 0.003108903036817004)	(94.0, 0.0022796097785186807)	(95.0, 0.0015620249728221856)	(96.0, 0.0010356698910711946)	(97.0, 0.0006910777152486033)	(98.0, 0.00045440726482099943)	(99.0, 0.0003218718125815413)	(100.0, 0.0002063766327728706)
SRR957971_1	(0.0, 0.00013121393887691364)	(1.0, 9.588710917928306e-05)	(2.0, 5.551358952484809e-05)	(3.0, 4.542020961123934e-05)	(4.0, 5.551358952484809e-05)	(5.0, 8.074703930886994e-05)	(6.0, 0.0001236439039417071)	(7.0, 0.00017663414848815298)	(8.0, 0.00030532474238666445)	(9.0, 0.0004743888559396109)	(10.0, 0.0006434529694925574)	(11.0, 0.0008680306725703518)	(12.0, 0.0010850383407129398)	(13.0, 0.0016225108211126052)	(14.0, 0.002578858567927034)	(15.0, 0.003996978445789062)	(16.0, 0.006641443983154553)	(17.0, 0.011259165293630552)	(18.0, 0.0199722755040533)	(19.0, 0.03441085547047061)	(20.0, 0.05533190868640313)	(21.0, 0.09781494474278232)	(22.0, 0.15891522004981284)	(23.0, 0.26135545613800637)	(24.0, 0.3487388927400741)	(25.0, 0.41538800365461104)	(26.0, 0.5185095428869732)	(27.0, 0.64336969910827)	(28.0, 0.7560572391537549)	(29.0, 0.882875511078292)	(30.0, 1.0034106540066077)	(31.0, 1.1240139272493401)	(32.0, 1.318240836926913)	(33.0, 1.4986448628127989)	(34.0, 1.645740734983776)	(35.0, 1.8739772882802535)	(36.0, 2.107061187280242)	(37.0, 2.3025800495867568)	(38.0, 2.502598035989763)	(39.0, 2.7329592457580554)	(40.0, 2.993315457284614)	(41.0, 3.191842146805385)	(42.0, 3.5005027512534967)	(43.0, 3.9191761500699878)	(44.0, 4.442873690232556)	(45.0, 4.7757584064733285)	(46.0, 4.633441749691445)	(47.0, 4.155494977332287)	(48.0, 3.746385055983941)	(49.0, 3.6058877309314856)	(50.0, 3.5516156271360115)	(51.0, 3.526414980836709)	(52.0, 3.4670532902197975)	(53.0, 3.302389890309185)	(54.0, 3.106659067024484)	(55.0, 2.989573336681644)	(56.0, 2.815994958962336)	(57.0, 2.5763579330534374)	(58.0, 2.348017922612845)	(59.0, 2.1650880284035785)	(60.0, 1.970972145905055)	(61.0, 1.6991448081066798)	(62.0, 1.404327274210082)	(63.0, 1.1390303532158113)	(64.0, 0.9130421002950901)	(65.0, 0.6789463399587625)	(66.0, 0.44223387087983185)	(67.0, 0.27340695175485524)	(68.0, 0.15961418660883026)	(69.0, 0.08644979896005889)	(70.0, 0.04187238657160587)	(71.0, 0.019722464351191484)	(72.0, 0.010070669808803123)	(73.0, 0.0054781819481111455)	(74.0, 0.0032248348823979934)	(75.0, 0.0018975554237584437)	(76.0, 0.0013499895634451692)	(77.0, 0.0009891512315336568)	(78.0, 0.0006182195197085355)	(79.0, 0.00045420209611239345)	(80.0, 0.00028766132753784915)	(81.0, 0.0002144843231641858)	(82.0, 0.00018672752840176175)	(83.0, 0.0001236439039417071)	(84.0, 9.084041922247868e-05)	(85.0, 5.046689956804371e-05)	(86.0, 4.037351965443497e-05)	(87.0, 3.53268296976306e-05)	(88.0, 2.5233449784021857e-05)	(89.0, 2.271010480561967e-05)	(90.0, 1.2616724892010928e-05)	(91.0, 2.5233449784021856e-06)	(92.0, 2.5233449784021856e-06)	(93.0, 2.5233449784021856e-06)	(94.0, 2.5233449784021856e-06)	(95.0, 0.0)	(96.0, 2.5233449784021856e-06)	(97.0, 2.5233449784021856e-06)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR957971_2	(0.0, 0.0008781207730975287)	(1.0, 0.0018041849217377383)	(2.0, 0.0038203300300852254)	(3.0, 0.005399938087438826)	(4.0, 0.005445358127426628)	(5.0, 0.004547050669890076)	(6.0, 0.0037900500034266896)	(7.0, 0.0032954762346706105)	(8.0, 0.0031541694435974453)	(9.0, 0.003330802932438902)	(10.0, 0.0032450095235730513)	(11.0, 0.0032904295635608543)	(12.0, 0.0037900500034266896)	(13.0, 0.004216493712201065)	(14.0, 0.004963401036444939)	(15.0, 0.0061619854250119675)	(16.0, 0.00882662777096309)	(17.0, 0.013731992089645834)	(18.0, 0.021857132576352856)	(19.0, 0.03621995855471818)	(20.0, 0.0564318763492906)	(21.0, 0.09749411583381958)	(22.0, 0.15813491588864662)	(23.0, 0.25752658005973444)	(24.0, 0.34157384072160935)	(25.0, 0.40832868282590573)	(26.0, 0.5121084275269263)	(27.0, 0.6367511105956778)	(28.0, 0.7475532981459236)	(29.0, 0.86889293497334)	(30.0, 0.989182864209927)	(31.0, 1.1110524015038676)	(32.0, 1.2971559686827816)	(33.0, 1.4721921861180007)	(34.0, 1.626158551669989)	(35.0, 1.8577729989166816)	(36.0, 2.0889584791190448)	(37.0, 2.281928042342782)	(38.0, 2.482472658902262)	(39.0, 2.7193280740964365)	(40.0, 2.973284134346019)	(41.0, 3.1459988830707495)	(42.0, 3.405642541661027)	(43.0, 3.7797800277183367)	(44.0, 4.2885298956217195)	(45.0, 4.634027523131165)	(46.0, 4.535380242948766)	(47.0, 4.086559594473734)	(48.0, 3.705952276053717)	(49.0, 3.615326679600275)	(50.0, 3.5929825432618308)	(51.0, 3.5785944839279167)	(52.0, 3.5274691822505346)	(53.0, 3.37343720997412)	(54.0, 3.167179761718396)	(55.0, 3.0186486609516145)	(56.0, 2.8362644903805907)	(57.0, 2.598114604046764)	(58.0, 2.3668862271399678)	(59.0, 2.1924631802445838)	(60.0, 2.0056833591369627)	(61.0, 1.7418661035389176)	(62.0, 1.4546903307093673)	(63.0, 1.1908957851313158)	(64.0, 0.9680120789045008)	(65.0, 0.7378435029307533)	(66.0, 0.5009451910321462)	(67.0, 0.32926248654935986)	(68.0, 0.20676968537336432)	(69.0, 0.12209916082943453)	(70.0, 0.06694913894202192)	(71.0, 0.036835652430108404)	(72.0, 0.02092349842104801)	(73.0, 0.012508174345530029)	(74.0, 0.008304297311103352)	(75.0, 0.0058213351251034445)	(76.0, 0.004125653632225458)	(77.0, 0.002906882559219405)	(78.0, 0.0020413784638962664)	(79.0, 0.0015644680440243326)	(80.0, 0.001251574435219466)	(81.0, 0.0008377474042194814)	(82.0, 0.0005929838553963196)	(83.0, 0.0005097137820853471)	(84.0, 0.00038859367545120523)	(85.0, 0.00025233355548779556)	(86.0, 0.00016401681106706714)	(87.0, 0.00012112010663414188)	(88.0, 0.00013626011996340962)	(89.0, 0.00011355009996950802)	(90.0, 7.570006664633867e-05)	(91.0, 5.299004665243708e-05)	(92.0, 4.289670443292525e-05)	(93.0, 4.03733688780473e-05)	(94.0, 3.280336221341342e-05)	(95.0, 2.7756691103657514e-05)	(96.0, 1.261667777438978e-05)	(97.0, 2.523335554877956e-06)	(98.0, 5.046671109755912e-06)	(99.0, 2.523335554877956e-06)	(100.0, 0.0)
SRR957972_1	(0.0, 6.573028694168359e-05)	(1.0, 5.079158536402822e-05)	(2.0, 2.3901922524248575e-05)	(3.0, 1.1950961262124288e-05)	(4.0, 4.182836441743501e-05)	(5.0, 9.56076900969943e-05)	(6.0, 0.00012548509325230502)	(7.0, 0.00015237475609208465)	(8.0, 0.0002659088880822654)	(9.0, 0.0004242591248054122)	(10.0, 0.0005527319583732483)	(11.0, 0.0006154745049994009)	(12.0, 0.0007678492610914855)	(13.0, 0.001213022568105615)	(14.0, 0.0018613622165758578)	(15.0, 0.002736770129026462)	(16.0, 0.004580205903709133)	(17.0, 0.007935438278050527)	(18.0, 0.0144427366852772)	(19.0, 0.02556609387999938)	(20.0, 0.042479691806220785)	(21.0, 0.07254233486109443)	(22.0, 0.11902559869012685)	(23.0, 0.20265842560247263)	(24.0, 0.27370689030580153)	(25.0, 0.3382540320825348)	(26.0, 0.43566631733010985)	(27.0, 0.5419133506907102)	(28.0, 0.650159182322401)	(29.0, 0.7722173374327919)	(30.0, 0.8938721476005862)	(31.0, 1.0261991661754573)	(32.0, 1.205735469476035)	(33.0, 1.3858215169946702)	(34.0, 1.550956911974388)	(35.0, 1.7766358767080277)	(36.0, 2.0422549539796866)	(37.0, 2.29670585795189)	(38.0, 2.532438568847292)	(39.0, 2.775297040395235)	(40.0, 2.985057324727725)	(41.0, 3.1374828724051738)	(42.0, 3.3990505738089727)	(43.0, 3.7224854139264734)	(44.0, 4.054023005779694)	(45.0, 4.248399415227515)	(46.0, 4.215393847961843)	(47.0, 3.997088626326934)	(48.0, 3.7983979198634867)	(49.0, 3.7477975498796523)	(50.0, 3.767543525624997)	(51.0, 3.825810437258484)	(52.0, 3.8316693960172405)	(53.0, 3.712912693955511)	(54.0, 3.4983451354553323)	(55.0, 3.3380439043061436)	(56.0, 3.14292055977944)	(57.0, 2.847920044244849)	(58.0, 2.562351824886389)	(59.0, 2.3538434037461067)	(60.0, 2.104692751093655)	(61.0, 1.7512460595066444)	(62.0, 1.4233146702142696)	(63.0, 1.1380392494067317)	(64.0, 0.8832387798176111)	(65.0, 0.6295168844823968)	(66.0, 0.39080240875209526)	(67.0, 0.23390421382229656)	(68.0, 0.13065388399817376)	(69.0, 0.06628301890005683)	(70.0, 0.0320106497405999)	(71.0, 0.015449605171611173)	(72.0, 0.007155638055696917)	(73.0, 0.0038392463054574273)	(74.0, 0.002297572302643394)	(75.0, 0.0013982624676685416)	(76.0, 0.0010038807460184401)	(77.0, 0.0006393764275236494)	(78.0, 0.00042127138448988115)	(79.0, 0.0003525533572326665)	(80.0, 0.00025993340745120326)	(81.0, 0.00017627667861633324)	(82.0, 0.00013743605451442932)	(83.0, 0.00012249735293677394)	(84.0, 9.56076900969943e-05)	(85.0, 6.573028694168359e-05)	(86.0, 6.871802725721466e-05)	(87.0, 4.182836441743501e-05)	(88.0, 3.286514347084179e-05)	(89.0, 4.182836441743501e-05)	(90.0, 2.987740315531072e-05)	(91.0, 2.0914182208717505e-05)	(92.0, 2.0914182208717505e-05)	(93.0, 1.1950961262124288e-05)	(94.0, 0.0)	(95.0, 2.987740315531072e-06)	(96.0, 2.987740315531072e-06)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR957972_2	(0.0, 0.000836564064076027)	(1.0, 0.0017836740937621004)	(2.0, 0.0037316732715391345)	(3.0, 0.0052882799764805985)	(4.0, 0.005664733805314811)	(5.0, 0.004795304724435797)	(6.0, 0.0037824646611437506)	(7.0, 0.0034866795099168695)	(8.0, 0.0033223544259019353)	(9.0, 0.003062422020278313)	(10.0, 0.0029638269698693525)	(11.0, 0.003110225681082657)	(12.0, 0.0033223544259019353)	(13.0, 0.003674906424333976)	(14.0, 0.004114102557973889)	(15.0, 0.005058224858859692)	(16.0, 0.0069793344774342824)	(17.0, 0.01010748653131857)	(18.0, 0.016056054572659174)	(19.0, 0.027026994727256216)	(20.0, 0.04393753973679304)	(21.0, 0.07322923289465508)	(22.0, 0.11854710333717355)	(23.0, 0.20109805008867576)	(24.0, 0.27161143750388406)	(25.0, 0.3339743007519516)	(26.0, 0.4286135982293524)	(27.0, 0.5332558117300623)	(28.0, 0.6432580106984593)	(29.0, 0.7655158732055701)	(30.0, 0.8859273193141131)	(31.0, 1.016517957445181)	(32.0, 1.1895014795233019)	(33.0, 1.365956742467338)	(34.0, 1.5322985434224552)	(35.0, 1.7576748777421374)	(36.0, 2.0177208170601704)	(37.0, 2.2726637155873397)	(38.0, 2.511508731338646)	(39.0, 2.7541840154119)	(40.0, 2.970220709501934)	(41.0, 3.1305063841789007)	(42.0, 3.376474145390054)	(43.0, 3.685232015067714)	(44.0, 4.019836726596523)	(45.0, 4.223050088675791)	(46.0, 4.200881140977776)	(47.0, 3.9831563801155894)	(48.0, 3.7855479972656307)	(49.0, 3.7268749790858986)	(50.0, 3.737218496192438)	(51.0, 3.796276931387406)	(52.0, 3.79995482554054)	(53.0, 3.6811746793569453)	(54.0, 3.471950006931531)	(55.0, 3.2992831841062387)	(56.0, 3.102484475761154)	(57.0, 2.82536964180717)	(58.0, 2.553453455965658)	(59.0, 2.360983966652166)	(60.0, 2.1354134299604666)	(61.0, 1.8090936903948105)	(62.0, 1.4914801925531458)	(63.0, 1.2062865399232272)	(64.0, 0.9594373987159937)	(65.0, 0.7055939843873243)	(66.0, 0.4538748452356482)	(67.0, 0.2880768109221804)	(68.0, 0.1740142885142144)	(69.0, 0.0958792049295135)	(70.0, 0.05069279455420696)	(71.0, 0.027206258455272508)	(72.0, 0.014302257766899789)	(73.0, 0.00785772674471411)	(74.0, 0.004648906013222493)	(75.0, 0.0029727901562701673)	(76.0, 0.0020465942281859945)	(77.0, 0.0014609993833327756)	(78.0, 0.0010218032496928614)	(79.0, 0.0008036990472730401)	(80.0, 0.0006483371496589208)	(81.0, 0.0004601102352418148)	(82.0, 0.0003376133544306823)	(83.0, 0.0002629201344238942)	(84.0, 0.000182251456816563)	(85.0, 0.00016432508401493387)	(86.0, 0.00015536189761411928)	(87.0, 0.00012548460961140403)	(88.0, 9.560732160868879e-05)	(89.0, 6.573003360597355e-05)	(90.0, 5.6766847205158964e-05)	(91.0, 4.481593200407287e-05)	(92.0, 5.079138960461592e-05)	(93.0, 4.481593200407287e-05)	(94.0, 2.6889559202443726e-05)	(95.0, 1.792637280162915e-05)	(96.0, 2.9877288002715245e-06)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
