Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR957961_1	0.19724859182365645	0.0
SRR957961_2	0.1413028304436552	0.0
SRR957965_1	2.2280468198792427	0.26050131611991656
SRR957965_2	0.5928939218555882	0.4980360443272944
SRR957971_1	3.06454392654437	1.402950448285146
SRR957971_2	1.0587659674220808	1.7850255022027555
SRR957972_1	0.20358469200868834	0.21027125703239608
SRR957972_2	0.20820971553715106	0.10730174095685402
