Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR957961_1	(1.0, 40.78024238838313)	(2.0, 13.753202906706466)	(3.0, 7.158202067434597)	(4.0, 4.319634636095128)	(5.0, 3.1178974234605037)	(6.0, 2.22693243634838)	(7.0, 1.7338449253189745)	(8.0, 1.4075167431502773)	(9.0, 1.1630083092803507)	('>10', 11.64429974597879)	('>50', 3.134746016294184)	('>100', 5.17907137291209)	('>500', 1.2672995411978882)	('>1k', 2.297139773223665)	('>5k', 0.3536255985684312)	('>10k+', 0.46333611564726507)
SRR957961_2	(1.0, 47.02354425436511)	(2.0, 12.375726045809216)	(3.0, 6.32587721606372)	(4.0, 3.8729914384951427)	(5.0, 2.689463086562632)	(6.0, 1.991156669626256)	(7.0, 1.499691688863541)	(8.0, 1.2754383356265258)	(9.0, 1.044677859503656)	('>10', 10.337367576127992)	('>50', 2.7464173194754484)	('>100', 4.734377563867049)	('>500', 1.1739032516400523)	('>1k', 2.1921343133406577)	('>5k', 0.36524716016293507)	('>10k+', 0.3519862204700327)
SRR957965_1	(1.0, 30.44248304198913)	(2.0, 10.751960301939178)	(3.0, 5.987544714270743)	(4.0, 3.7929841504008612)	(5.0, 2.771041175104209)	(6.0, 2.129396985471963)	(7.0, 1.7693564108249311)	(8.0, 1.4453290202724685)	(9.0, 1.2294116978101943)	('>10', 15.256221332726627)	('>50', 5.120419452710296)	('>100', 8.927119342717157)	('>500', 2.5143598617238068)	('>1k', 3.599533584867528)	('>5k', 0.9436773579603701)	('>10k+', 3.319161569210327)
SRR957965_2	(1.0, 32.30364717941608)	(2.0, 10.743134748035828)	(3.0, 5.9170051085315025)	(4.0, 3.8688599786498536)	(5.0, 2.692204248069731)	(6.0, 2.209837155647664)	(7.0, 1.735177998952463)	(8.0, 1.4313883517011454)	(9.0, 1.1834565748050443)	('>10', 15.316637639007885)	('>50', 4.864003020400355)	('>100', 8.91274537325634)	('>500', 2.518948519886569)	('>1k', 3.454270296875153)	('>5k', 0.920319170530503)	('>10k+', 1.9283646362340807)
SRR957971_1	(1.0, 36.51900758929035)	(2.0, 12.715804267415304)	(3.0, 6.193229796976763)	(4.0, 3.820020297268103)	(5.0, 2.501763000100741)	(6.0, 1.88168447795471)	(7.0, 1.4582675266186709)	(8.0, 1.1662949173437853)	(9.0, 0.9724948782698566)	('>10', 10.324572075651483)	('>50', 3.254428658298663)	('>100', 6.897380994908324)	('>500', 2.3237341463750107)	('>1k', 4.102522237333922)	('>5k', 0.9596123877794636)	('>10k+', 4.909182748414796)
SRR957971_2	(1.0, 39.09272290805223)	(2.0, 12.74167617282767)	(3.0, 6.183493616290867)	(4.0, 3.7267364920818427)	(5.0, 2.5524984605114454)	(6.0, 1.7751741519988613)	(7.0, 1.4237035309230537)	(8.0, 1.1230390286612504)	(9.0, 0.9372316647306845)	('>10', 10.24889468811305)	('>50', 3.228250130545681)	('>100', 6.690203763934038)	('>500', 2.217734393625778)	('>1k', 3.8862224367348945)	('>5k', 1.014209695486112)	('>10k+', 3.158208865482351)
SRR957972_1	(1.0, 37.546330356279604)	(2.0, 12.469538462906147)	(3.0, 6.633062090059464)	(4.0, 4.118671665335896)	(5.0, 3.009480683540312)	(6.0, 2.1783946547218087)	(7.0, 1.7106005503951096)	(8.0, 1.3673177814070043)	(9.0, 1.19955343324152)	('>10', 12.68140756813285)	('>50', 4.038038819522165)	('>100', 7.691460460284154)	('>500', 1.9598525520192287)	('>1k', 2.3480236197286257)	('>5k', 0.43403895897480926)	('>10k+', 0.6142283434513524)
SRR957972_2	(1.0, 38.20574289070048)	(2.0, 12.513989841685758)	(3.0, 6.477431912803466)	(4.0, 4.083209990258042)	(5.0, 2.900369496834458)	(6.0, 2.2096984353358926)	(7.0, 1.8180175236253644)	(8.0, 1.3132724536260447)	(9.0, 1.1043249343819843)	('>10', 12.645798805373417)	('>50', 3.8691311722044825)	('>100', 7.640846861890404)	('>500', 1.9564244316544033)	('>1k', 2.29020797439215)	('>5k', 0.4515743910415195)	('>10k+', 0.519958884192213)
